"iteration","species","design","d0_est","g0_est","sig_est","d0_tru","g0_tru","sig_tru","seed_i","seed_j"
0,"test","test",NA,NA,NA,NA,NA,NA,NA,NA
1,"serval","emp60",-3.669993892169,0.173762381317967,0.474580594697956,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
2,"serval","emp60",-3.7939535471206,-0.593797222698504,0.769881979534016,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
3,"serval","emp60",-3.57201929817763,-1.32973307950002,1.02747610589633,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
4,"serval","emp60",-3.98132764685234,-0.167336456080994,0.804908380144346,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
5,"serval","emp60",-3.80101524511845,-0.0686111795156052,0.686779974633325,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
6,"serval","emp60",-3.55686663052979,-1.04053747484581,0.826413720120076,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
7,"serval","emp60",-4.16995351390866,-0.315642404142508,0.938596899891537,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
8,"serval","emp60",-3.39367490551763,-1.12066795312386,0.593722615930492,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
9,"serval","emp60",-3.53919505006144,-2.12754862279768,1.22464251875795,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
10,"serval","emp60",-3.57994527798266,-1.67363621725038,1.11493343317274,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
11,"serval","emp60",-3.78093036448638,-1.81217922459647,1.34252832898161,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
12,"serval","emp60",-3.88006214265666,-0.547563958524038,0.922843455011143,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
13,"serval","emp60",-3.9597345502872,-0.685780943490659,1.05113425569242,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
14,"serval","emp60",-3.42137305515872,-1.55750411230805,1.00951318046037,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
15,"serval","emp60",-3.92967926142104,-0.569299429675059,0.979995993581038,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
16,"serval","emp60",-4.20563598721413,-0.78261348378068,1.13358474041005,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
17,"serval","emp60",-3.73865232513808,-0.808630774201371,0.885613117944539,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
18,"serval","emp60",-3.96190422843772,-1.17228339395626,1.0476232103763,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
19,"serval","emp60",-3.78956846403173,-1.08705764733813,1.03824543239976,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
20,"serval","emp60",-4.30934474417483,-0.64498776241746,0.934687580013108,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
21,"serval","emp60",-3.95558213511231,-0.847459142916277,1.0108608534712,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
22,"serval","emp60",-4.54959764500039,-0.980305983451631,1.14203942575771,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
23,"serval","emp60",-3.66471269784691,-0.677023866195311,0.690558993705589,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
24,"serval","emp60",-4.12923004686482,-0.722070428209108,1.03198658807524,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
25,"serval","emp60",-3.94927669327146,-0.0435217189100358,0.733640699803211,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
26,"serval","emp60",-3.74875671297289,-1.0954229367305,1.00595148063377,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
27,"serval","emp60",-3.93740306400862,-0.800424513468054,1.06904380678634,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
28,"serval","emp60",-3.76924297612737,-0.488510037954086,0.959617372753919,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
29,"serval","emp60",-4.17072634198877,-0.472611093866057,0.989731148695832,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
30,"serval","emp60",-3.63950151061382,-0.425321111430449,0.734105904297297,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
31,"serval","emp60",-3.93877628700335,-0.823426082919243,1.17137058168425,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
32,"serval","emp60",-3.70094452619802,-0.623325655456463,0.612353195214355,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
33,"serval","emp60",-3.90962606626042,-0.512210165821508,0.846997127763177,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
34,"serval","emp60",-3.82142372050068,0.0677224036341905,0.566758926627841,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
35,"serval","emp60",-4.22268762497733,-1.25065172627083,1.33315779130019,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
36,"serval","emp60",-4.1371991994525,-0.737375770396481,1.04549770616127,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
37,"serval","emp60",-3.79909811992584,-1.21485793239608,1.0980383760419,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
38,"serval","emp60",-3.99863657482181,-1.38493502969277,1.26521200264229,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
39,"serval","emp60",-3.59285395644924,-0.585930809918855,0.891530392553596,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
40,"serval","emp60",-3.70056028712928,-0.663549015501644,0.951140006997874,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
41,"serval","emp60",-3.53819293841589,-1.07502293233228,1.02446293596794,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
42,"serval","emp60",-3.82932628493339,-0.232072505103418,0.57437219143751,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
43,"serval","emp60",-3.88672370234869,-0.592925315251252,0.945041142828313,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
44,"serval","emp60",-4.19859704506675,-1.47006830531712,1.40012530544312,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
45,"serval","emp60",-3.73652954016171,-0.741168458989634,0.858321096001175,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
46,"serval","emp60",-3.74076921216061,-0.138594118845479,0.649057497413775,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
47,"serval","emp60",-4.07047488495842,-0.340817643881371,0.843483424299211,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
48,"serval","emp60",-3.84636845183797,-0.891864760678408,0.928250695427236,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
49,"serval","emp60",-3.75312662597325,-0.184903039388726,0.763376260808439,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
50,"serval","emp60",-3.82626759563245,-0.316869745266038,0.70020858612989,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
51,"serval","emp60",-3.94155310966052,-0.167807328141377,0.764170842326327,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
52,"serval","emp60",-3.73120164744918,-0.367697066144995,0.80134683841319,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
53,"serval","emp60",-4.14943376075395,-0.35102863115087,0.808272823768854,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
54,"serval","emp60",-3.58078418656196,-0.513761540426283,0.712844223577069,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
55,"serval","emp60",-3.92829728286008,-0.633609749313185,1.00067996610658,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
56,"serval","emp60",-3.95828283582744,-0.723201361990917,1.15770341339367,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
57,"serval","emp60",-4.28274622897101,-0.835209420944331,1.24167620847107,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
58,"serval","emp60",-4.03376413100478,-0.819247406117136,1.07695038472447,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
59,"serval","emp60",-3.83397251720475,-0.484213620566849,0.766292645605571,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
60,"serval","emp60",-3.87040243973412,-0.532186739950385,0.721388822665991,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
61,"serval","emp60",-3.99472800240366,-0.992866938892092,1.20039229622636,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
62,"serval","emp60",-4.03112499797179,-0.616977027886918,1.00258634043036,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
63,"serval","emp60",-3.7556041993675,-0.31196728166917,0.721996000918847,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
64,"serval","emp60",-3.57865739689366,-1.27021903372842,1.00790549056863,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
65,"serval","emp60",-3.93756854907822,-0.674125701114822,1.02422008988845,-3.94582651130051,-0.746440664227067,0.917363746519007,6,1
