"iteration","species","design","d0_est","g0_est","sig_est","d0_tru","g0_tru","sig_tru","seed_i","seed_j"
0,"test","test",NA,NA,NA,NA,NA,NA,NA,NA
1,"genet","emp60",-0.848430469358713,0.976830355295974,-0.74885142913928,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
2,"genet","emp60",-0.763115797673402,0.678590776746217,-0.699643620050523,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
3,"genet","emp60",-0.888910318192503,1.03239749481479,-0.716141999123931,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
4,"genet","emp60",-0.877131602493223,1.01735287144466,-0.700458175305299,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
5,"genet","emp60",-0.983223880805867,1.02913189490988,-0.685732864997198,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
6,"genet","emp60",-0.81722825435973,0.906464405876683,-0.734358248089391,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
7,"genet","emp60",-0.74006397775356,1.02526279303098,-0.791860644593348,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
8,"genet","emp60",-0.665649594757818,0.899933554191864,-0.775673966205025,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
9,"genet","emp60",-0.898134375223009,0.953733066168754,-0.703464436562513,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
10,"genet","emp60",-0.696583508173236,1.03078143452712,-0.817341738283722,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
11,"genet","emp60",-0.784288789754675,0.893126447162363,-0.730443623509706,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
12,"genet","emp60",-0.880320743388584,0.938446453136942,-0.703569502884551,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
13,"genet","emp60",-0.893917040995194,1.02436664078233,-0.729425893356981,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
14,"genet","emp60",-0.570294534648878,0.969397053064564,-0.820575551517308,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
15,"genet","emp60",-0.867790826960771,0.988247051744601,-0.707332056530946,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
16,"genet","emp60",-0.917770015263797,1.06903741003925,-0.770395810276585,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
17,"genet","emp60",-0.794267267717824,0.749641210133523,-0.684761897349315,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
18,"genet","emp60",-0.800611767888573,0.805720429980943,-0.709602183609404,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
19,"genet","emp60",-0.842799856169155,1.04028728586453,-0.757324621246556,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
20,"genet","emp60",-0.847728765284401,0.957207900494562,-0.738042120400928,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
21,"genet","emp60",-0.75597871499906,0.719987804582155,-0.717198034795995,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
22,"genet","emp60",-0.754536408655854,0.995735659516008,-0.782844358736075,-0.852085222198384,0.948699798905491,-0.72856493574715,2,1
