"iteration","species","design","d0_est","g0_est","sig_est","d0_tru","g0_tru","sig_tru","seed_i","seed_j"
0,"test","test",NA,NA,NA,NA,NA,NA,NA,NA
1,"cheetah","emp60",-3.58078537884788,-1.83787076641709,1.24390286883487,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
2,"cheetah","emp60",-3.78130124395051,-1.3147679638775,1.30771695227902,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
3,"cheetah","emp60",-3.72723879078211,-1.05493965182185,0.994323532912014,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
4,"cheetah","emp60",-3.9172899601882,-1.46965934395362,1.28345006216441,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
5,"cheetah","emp60",-3.77706828853728,-0.14727882891892,0.572501581994175,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
6,"cheetah","emp60",-3.72115730648968,-1.93258378887203,1.58390749025979,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
7,"cheetah","emp60",-3.92319175718845,-2.05026684522769,1.29709715950446,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
8,"cheetah","emp60",-3.90823113473189,-1.45709196015958,1.25317527680835,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
9,"cheetah","emp60",-3.79931947553706,-1.43168428308195,1.45772321414857,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
10,"cheetah","emp60",-3.79305174250898,-1.13094736729613,1.22234964100071,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
11,"cheetah","emp60",-3.83761165437996,-0.846198010028577,1.24377013934784,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
12,"cheetah","emp60",-3.96622339442331,-0.318069434462575,0.689079389230695,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
13,"cheetah","emp60",-3.77665822631367,-1.46916366001554,1.40130983593079,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
14,"cheetah","emp60",-3.02938297461295,-3.23555809272794,1.40873953422343,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
15,"cheetah","emp60",-3.71562240180682,-1.16772880363103,0.758191580238533,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
16,"cheetah","emp60",-3.78268600629761,-0.99588323733777,1.09888582201755,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
17,"cheetah","emp60",-3.93120347716894,-1.71669393261328,1.49661842598763,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
18,"cheetah","emp60",-3.70959411725857,-1.33685169079789,1.13708669141132,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
19,"cheetah","emp60",-4.51769936969573,-0.810369944495161,1.14214541440731,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
20,"cheetah","emp60",-3.65214577533729,-1.93536740947184,1.43333200370483,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
21,"cheetah","emp60",-3.6511846032333,-1.8315597700444,1.35753443160569,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
22,"cheetah","emp60",-3.72013192531543,-0.759979092346091,0.527798743669452,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
23,"cheetah","emp60",-4.08394813962188,-1.84064092931552,1.41747153168992,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
24,"cheetah","emp60",-4.15126547354523,-1.28831998231551,1.1878855445089,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
25,"cheetah","emp60",-3.85661317625372,-1.54196775583847,1.20251680054586,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
26,"cheetah","emp60",-3.50495696472255,-2.70058678546478,1.76332438243284,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
27,"cheetah","emp60",-3.75738658231966,-1.72999484276064,1.53173281352945,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
28,"cheetah","emp60",-3.84972118734015,-2.96541787974325,1.51717663000845,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
29,"cheetah","emp60",-4.17649321798255,-1.38267865469608,1.32213717759983,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
30,"cheetah","emp60",-3.4518884953595,-1.79926784134353,1.04749228764462,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
31,"cheetah","emp60",-3.65556103379947,-0.940725599478592,0.792819900169929,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
32,"cheetah","emp60",-3.74500764464874,-1.14688732350942,1.09336451771685,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
33,"cheetah","emp60",-3.96215068131573,-1.36317484782986,1.3366087313035,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
34,"cheetah","emp60",-3.99596998095514,-1.1737192086927,1.33529318427888,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
35,"cheetah","emp60",-3.98967617792772,-1.30190271890536,1.39778962267375,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
36,"cheetah","emp60",-3.79963937716426,-1.90697940853313,1.35020016619299,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
37,"cheetah","emp60",-4.14817654108112,-2.33435039798716,1.97704739589332,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
38,"cheetah","emp60",-3.69962615942691,-1.51117478625135,1.23199076886704,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
39,"cheetah","emp60",-3.48669471069223,-2.44455345557166,1.53540055871431,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
40,"cheetah","emp60",-3.67276740425578,-1.67198876399071,1.28759703413652,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
41,"cheetah","emp60",-4.12956475915227,-1.92036719857682,1.58221751454583,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
42,"cheetah","emp60",-3.79707472198673,-0.97965730503239,1.1363310274186,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
43,"cheetah","emp60",-3.77184168891201,-1.46366878756831,1.3817601679246,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
44,"cheetah","emp60",-3.96811979117081,-1.36440087944757,1.35780325246211,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
45,"cheetah","emp60",-3.4772510111063,-1.77261012554521,1.06087634781971,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
46,"cheetah","emp60",-3.71507321943453,-2.07438501482109,1.3350501981412,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
47,"cheetah","emp60",-4.11309568437308,-2.24299474157008,1.79524144656869,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
48,"cheetah","emp60",-4.02076516786713,-1.52106949846721,1.08814374549049,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
49,"cheetah","emp60",-3.9650182877218,-1.07177198678156,1.1483211225962,-3.83043179066757,-1.41737679998848,1.21520673079162,1,1
