"iteration","species","design","d0_est","g0_est","sig_est","d0_tru","g0_tru","sig_tru","seed_i","seed_j"
0,"test","test",NA,NA,NA,NA,NA,NA,NA,NA
1,"leopard","emp60",-2.53627881100684,0.320793568935061,0.626078373363149,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
2,"leopard","emp60",-2.43942391517319,0.371382135605519,0.608075151173691,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
3,"leopard","emp60",-2.42902692039594,0.497350260359636,0.536931217870922,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
4,"leopard","emp60",-2.30363933716944,0.316278412771714,0.497973114015412,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
5,"leopard","emp60",-2.49762245896873,0.320999049881772,0.555952558159633,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
6,"leopard","emp60",-2.37483864095262,0.345303619445123,0.518636141500256,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
7,"leopard","emp60",-2.47209372472993,0.492072410321341,0.534399516749596,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
8,"leopard","emp60",-2.45923890148029,0.252911142852139,0.587055876988066,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
9,"leopard","emp60",-2.49715530470262,0.5164468053089,0.500642870643774,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
10,"leopard","emp60",-2.44851025272753,0.492467757581674,0.534234568316391,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
11,"leopard","emp60",-2.51871363248563,0.210848102045933,0.663877947642271,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
12,"leopard","emp60",-2.40319100449565,0.220563750353122,0.561503617145118,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
13,"leopard","emp60",-2.47569714817483,0.311025385733627,0.614412172759647,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
14,"leopard","emp60",-2.3120176837377,0.31179963575651,0.577680870862452,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
15,"leopard","emp60",-2.31586609183536,0.110287156298998,0.596875951413252,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
16,"leopard","emp60",-2.32653021937884,0.342405976744994,0.538942724060021,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
17,"leopard","emp60",-2.51701241676018,0.0767148583149711,0.675070023415699,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
18,"leopard","emp60",-2.27917679957675,0.387207172669976,0.473513180878772,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
19,"leopard","emp60",-2.31662292010482,0.179726212844454,0.55357488571286,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
20,"leopard","emp60",-2.48109972046927,0.241284953053942,0.614212839882089,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
21,"leopard","emp60",-2.33551947216977,0.347214748829215,0.523735372449105,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
22,"leopard","emp60",-2.38923986493447,0.317002090489206,0.591706673036132,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
23,"leopard","emp60",-2.55086349713336,0.388031978897084,0.538993543590045,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
24,"leopard","emp60",-2.29492491921024,0.0665374920487037,0.588798266216538,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
25,"leopard","emp60",-2.3674675748462,0.633251808794874,0.429052543735669,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
26,"leopard","emp60",-2.31146035445684,0.209466895885508,0.515613959765059,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
27,"leopard","emp60",-2.46804589963586,0.243896390852589,0.624894253067436,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
28,"leopard","emp60",-2.43358256720108,0.152042818471049,0.564138471696469,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
29,"leopard","emp60",-2.41453689793196,0.435863085102382,0.537181606261806,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
30,"leopard","emp60",-2.41534043399356,0.346488768226165,0.537614582073609,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
31,"leopard","emp60",-2.40294875048956,0.454284270262153,0.54445159371275,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
32,"leopard","emp60",-2.33830818658782,0.333499491323323,0.577795319270383,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
33,"leopard","emp60",-2.49151893755393,0.40998276553305,0.578619760972327,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
34,"leopard","emp60",-2.45881824275677,0.227903454214796,0.619419024918388,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
35,"leopard","emp60",-2.32684607926756,0.0290801861742581,0.566076971822701,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
36,"leopard","emp60",-2.30824464729833,0.377517072414667,0.531937454438255,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
37,"leopard","emp60",-2.35850836294985,0.284203601731441,0.613982623251335,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
38,"leopard","emp60",-2.33672799096027,0.392609393222205,0.582631016694788,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
39,"leopard","emp60",-2.33661659263583,0.273698990245772,0.569957316356999,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
40,"leopard","emp60",-2.31248253492159,0.393332296672144,0.577894432317286,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
41,"leopard","emp60",-2.54391358807514,0.274956836366564,0.592211283116411,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
42,"leopard","emp60",-2.36345083714923,0.378119154364451,0.496453163455928,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
43,"leopard","emp60",-2.33507581007305,0.175721053570044,0.59727370675495,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
44,"leopard","emp60",-2.39122719857533,0.282439415641977,0.579567555512109,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
45,"leopard","emp60",-2.41303222285153,0.353734485288454,0.607946598266851,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
46,"leopard","emp60",-2.33365183426856,0.35689364076332,0.58900415958075,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
47,"leopard","emp60",-2.4049538496369,0.242926095844415,0.605950452965268,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
48,"leopard","emp60",-2.38810792188443,0.35753771055903,0.579105425194338,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
49,"leopard","emp60",-2.31714589350968,0.309452556922659,0.538219952940196,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
50,"leopard","emp60",-2.35943326806664,-0.0837163594695507,0.612947620209027,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
51,"leopard","emp60",-2.41696219338821,0.358417255293854,0.535978603951067,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
52,"leopard","emp60",-2.50709312023111,0.584871876237049,0.493743434787781,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
53,"leopard","emp60",-2.3655392106769,0.532291417806845,0.401556920165624,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
54,"leopard","emp60",-2.31881724334938,0.152893944280243,0.631219905551469,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
55,"leopard","emp60",-2.34089369028861,0.320044913348787,0.513502702602592,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
56,"leopard","emp60",-2.44065802415715,0.320300507379135,0.57307779784944,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
57,"leopard","emp60",-2.52214072819541,0.370017849989203,0.596834833577576,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
58,"leopard","emp60",-2.34884080770841,0.406822622537449,0.521415652196947,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
59,"leopard","emp60",-2.40978468363282,0.460682817543531,0.472333019027343,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
60,"leopard","emp60",-2.34621259768676,0.322534069018823,0.566372488992308,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
61,"leopard","emp60",-2.35895104605177,0.525371104332497,0.449043898516329,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
62,"leopard","emp60",-2.4866085829198,0.309275158041207,0.626985478178104,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
63,"leopard","emp60",-2.43145466376693,0.302142070584053,0.568148044043027,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
64,"leopard","emp60",-2.447529867671,0.177201124792836,0.596803454382886,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
65,"leopard","emp60",-2.46936383443253,0.348767314377368,0.544032502275484,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
66,"leopard","emp60",-2.30910849237065,0.458862351116998,0.509976690829386,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
67,"leopard","emp60",-2.41006430360542,0.286382216064155,0.59909326267191,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
68,"leopard","emp60",-2.54481782726422,0.35817513483116,0.569607980523008,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
69,"leopard","emp60",-2.34924246492124,0.440787857202013,0.512289800235891,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
70,"leopard","emp60",-2.44747443331073,0.463921023075362,0.566908899822695,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
71,"leopard","emp60",-2.47868738347508,0.45831618641356,0.551016182269711,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
72,"leopard","emp60",-2.40683255082607,0.216227936022082,0.663011509697111,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
73,"leopard","emp60",-2.41264065899976,0.470907716661077,0.550971146038197,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
74,"leopard","emp60",-2.28825319879039,0.155053656098017,0.576174571393773,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
75,"leopard","emp60",-2.34791120873688,0.234151940374147,0.570523299530488,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
76,"leopard","emp60",-2.4065491140942,0.357397209041558,0.575204433123906,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
77,"leopard","emp60",-2.31214752942199,0.274116224857475,0.543213944680698,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
78,"leopard","emp60",-2.32496353115799,0.472769149570127,0.451005348197653,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
79,"leopard","emp60",-2.48505317930476,0.232426722505544,0.568211224904224,-2.39254954423525,0.354086751438987,0.550481728893263,4,1
